naics_code,federal_action_obligation,awarding_agency_name,awarding_sub_agency_name,award_description,funding_office_name,recipient_name,recipient_county_name,recipient_congressional_district,recipient_zip_4_code,implan_code,CewEmpRatio,CewWagesRatio,CewAvgRatio,SourceYear
236220,165000,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,X002 P-250 DB CHILD DEV CTR MCAS MIRAMAR  TIA,COMMANDING OFFICER,"RQ CONSTRUCTION, LLC",SAN DIEGO,49,920104701,60,NA,NA,NA,NA
236220,166304.5,DEPARTMENT OF DEFENSE (DOD),DEFENSE LOGISTICS AGENCY,8508540817!OTHER WAREHOUSE BUILDINGS RE,DLA DISTRIBUTION,CONSTRUCTICON CORP,SANTA CLARA,18,940431902,60,NA,NA,NA,NA
236220,166864,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,X008 - P6962-SQUAD OPS TRAVIS AFB,60 CES,"J. I. GARCIA CONSTRUCTION, INC.",FRESNO,16,937034708,56,NA,NA,NA,NA
236220,168403,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,DESERT WARFARE TRAINING CENTER,NAVFAC SOUTHWEST,"SOLPAC CONSTRUCTION, INC.",SAN DIEGO,53,921102819,56,NA,NA,NA,NA
236220,171542.28,DEPARTMENT OF VETERANS AFFAIRS (VA),"VETERANS AFFAIRS, DEPARTMENT OF",COVID: NEGATIVE AIR PRESSURE MACHINE RENTAL,691-VA GREATER LA HLTHCR SYS(00691),"WALTER THOMAS & ASSOCIATES, INCORPORATED",LOS ANGELES,47,908104060,60,NA,NA,NA,NA
236220,171770.82,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE ARMY,BLACK BUTTE HQ - COMPLETE,US ARMY ENGINEER DISTRICT SACRAMENT,"HERMAN CONSTRUCTION GROUP, INC.",SAN DIEGO,50,920291932,56,NA,NA,NA,NA
236220,172507,DEPARTMENT OF VETERANS AFFAIRS (VA),"VETERANS AFFAIRS, DEPARTMENT OF",INCORPORATE TENDER AGREEMENT BETWEEN AMERICAN CHILLER VA AND TRAVELERS (SURETY) TO COMPLETE PREVIOUSLY T4D CONTRACT.,261-NETWORK CONTRACT OFFICE 21 (36C261),"CABLE LINKS CONSTRUCTION GROUP, INC.",FRESNO,22,937278066,60,NA,NA,NA,NA
236220,173718.11,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,P5001 DB FULL MOTION TRAINING FACILITY CPEN MOD 03 - FF&E PACKAGE,NAVFAC SOUTHWEST,"BARNHART-REESE CONSTRUCTION, INC.",SAN DIEGO,49,921272429,60,NA,NA,NA,NA
236220,174520.08,DEPARTMENT OF VETERANS AFFAIRS (VA),"VETERANS AFFAIRS, DEPARTMENT OF",CREDIT FOR DESCOPE OF REQUIREMENTS - SETTLEMENT REA,PCAC NATIONAL ENERGY BUSINESS CENTER (36E776),"HALBERT CONSTRUCTION COMPANY, INC.",SAN DIEGO,50,920201620,60,NA,NA,NA,NA
236220,175000,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE ARMY,BASE - PRIMARY FACILITIES - TEMF,US ARMY ENGINEER DISTRICT LOUISVILL,"STRAUB CONSTRUCTION, INC.",SAN DIEGO,50,920282969,60,NA,NA,NA,NA
236220,175338,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,P1924 - ACADEMIC TRAINING BUILDING - NAWS CHINA LAK,NAVAL FAC ENGINEEERING CMD PACIFIC,"BARNHART-REESE CONSTRUCTION, INC.",SAN DIEGO,49,921272429,56,NA,NA,NA,NA
236220,177038.27,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE ARMY,BLACK BUTTE HQ - COMPLETE,US ARMY ENGINEER DISTRICT SACRAMENT,"HERMAN CONSTRUCTION GROUP, INC.",SAN DIEGO,50,920291932,56,NA,NA,NA,NA
236220,183501.61,DEPARTMENT OF VETERANS AFFAIRS (VA),"VETERANS AFFAIRS, DEPARTMENT OF",THE CONTRACTOR PROVIDES INTERIOR FINISHES FOR THE VA LOMA LINDA HEALTHCARE SYSTEM,605-VA LOMA LINDA HLTHCR SYS(00605),NPD ASSOCIATES INC,SAN DIEGO,52,921111805,60,NA,NA,NA,NA
236220,184358.63,DEPARTMENT OF VETERANS AFFAIRS (VA),"VETERANS AFFAIRS, DEPARTMENT OF",BLDG 18 EQUIPMENT PREPARATION,664-SAN DIEGO HEALTHCARE SYS(00664),"STRATEGIC INDUSTRY, INC.",FRESNO,21,936311945,60,NA,NA,NA,NA
236220,184409.73,DEPARTMENT OF VETERANS AFFAIRS (VA),"VETERANS AFFAIRS, DEPARTMENT OF",FRAMING (16 GA) AND EXPANDED METAL MESH (1.57LBLF) INSIDE PERIMETER WALLS OF PHARMACY,261-NETWORK CONTRACT OFFICE 21 (36C261),"PATRIOT CONSTRUCTION, INC.",SAN JOAQUIN,9,952064982,60,NA,NA,NA,NA
236220,185575.99,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE AIR FORCE,INDUSTRIAL METAL CANOPY B1717,412 LG LGLXR,"LEAD BUILDERS, INC.",VENTURA,26,91362,60,NA,NA,NA,NA
236220,192951,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,F-35 SIMULATOR FACILITY EMERGING REQUIREMENTS MATERIALS,NAVFAC SOUTHWEST,"HARPER CONSTRUCTION COMPANY, INC.",SAN DIEGO,52,921011769,60,NA,NA,NA,NA
236220,197268.36,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,BASE ITEM 0001 + BID OPTION ITEM 3,NAVFAC SOUTHWEST,"HARPER CONSTRUCTION COMPANY, INC.",SAN DIEGO,52,921011769,60,NA,NA,NA,NA
236220,201064.9,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,X011 MIRAMAR - RENOV RR B8656,COMMANDING OFFICER,MW SERVICES INC.,RIVERSIDE,50,925902549,60,NA,NA,NA,NA
236220,201743.51,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,BASE ITEM 0001 + BID OPTION ITEM 3,NAVFAC SOUTHWEST,"HARPER CONSTRUCTION COMPANY, INC.",SAN DIEGO,52,921011769,60,NA,NA,NA,NA
236220,202925,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,BASE ITEM 0001,NAVFAC SOUTHWEST,"R.A. BURCH CONSTRUCTION CO., INC.",SAN DIEGO,50,920651871,60,NA,NA,NA,NA
236220,204575,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,SOUTH AIRFEILD MCON PROJECTS CHINA LAKE,NAVFAC SOUTHWEST,ENVIRONMENTAL CHEMICAL CORPORATION,SAN MATEO,14,940101805,60,NA,NA,NA,NA
236220,205145,DEPARTMENT OF VETERANS AFFAIRS (VA),"VETERANS AFFAIRS, DEPARTMENT OF",EMERGENCY PROJECT TO BRING IN-HOUSE POWER TO THE COVID TRIAGE TENTS LOCATED IN FRONT OF BUILDING 164.,258-NETWORK CNTRCT OFF 22G (36C258),FEDVET CONSTRUCTION,SAN DIEGO,51,919115892,60,NA,NA,NA,NA
236220,214991,DEPARTMENT OF DEFENSE (DOD),DEFENSE LOGISTICS AGENCY,8508510690!WAREHOUSE 59 SEC 2 LIGHTING U,DLA DISTRIBUTION,"SPECTRUM SERVICES GROUP, INC",SACRAMENTO,3,958341159,60,NA,NA,NA,NA
236220,216354,DEPARTMENT OF VETERANS AFFAIRS (VA),"VETERANS AFFAIRS, DEPARTMENT OF",DIETETICS B300,OFFICE OF CONSTRUCTION & FACILITIES MGMT (36C10F),STRONGHOLD ENGINEERING INCORPORATED,RIVERSIDE,41,925011769,60,NA,NA,NA,NA
236220,221304,DEPARTMENT OF DEFENSE (DOD),DEPT OF THE NAVY,BASE ITEM 0001 + BID OPTION ITEM 3,NAVFAC SOUTHWEST,"HARPER CONSTRUCTION COMPANY, INC.",SAN DIEGO,52,921011769,60,NA,NA,NA,NA
