assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,total_obligated_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_funded_by_COVID-19_supplementals_for_overall_aw,obligated_amount_funded_by_COVID-19_supplementals_for_overall_a,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_duns,recipient_name,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date
8900_DESC0020280_-NONE-_81.049_0001,ASST_NON_DESC0020280_8900,DESC0020280,0001,,SAI EXEMPT,350000.00,700000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-28,2020,2019-09-15,2021-09-14,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0001: BASIC ENERGY SCIENCES,072933393,UNIVERSITY OF SOUTHERN CALIFORNIA,072933393,UNIVERSITY OF SOUTHERN CALIFORNIA,USA,UNITED STATES,3720 S FLOWER ST FL 3,,44000,LOS ANGELES,037,LOS ANGELES,CA,CALIFORNIA,90089,4318,33,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA44000,LOS ANGELES,037,LOS ANGELES,CALIFORNIA,90089-0176,37,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),RESOURCE-EFFICIENT QUANTUM SIMULATIONS ON NISQ DEVICES: ADVANCING THE STATE-OF-THE-ART,NON,NOT RECOVERY ACT,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0020280_8900/,2020-10-02 14:53:30.369858+00
8900_DESC0021266_-NONE-_81.049_-NONE-,ASST_NON_DESC0021266_8900,DESC0021266,,,SAI EXEMPT,4934400.00,4934400.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-30,2020,2020-09-30,2021-09-29,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0001: BASIC ENERGY SCIENCES,009584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,009584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,USA,UNITED STATES,1200 E CALIFORNIA BLVD,MAIL CODE 273-6,56000,PASADENA,037,LOS ANGELES,CA,CALIFORNIA,91125,0001,27,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA56000,PASADENA,037,LOS ANGELES,CALIFORNIA,91125-0002,27,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,05,COOPERATIVE AGREEMENT (B),LIQUID SUNLIGHT ALLIANCE (LISA),NON,NOT RECOVERY ACT,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0021266_8900/,2020-10-02 14:53:30.369858+00
8900_DEFE0031949_-NONE-_81.089_-NONE-,ASST_NON_DEFE0031949_8900,DEFE0031949,,,SAI EXEMPT,1493318.00,1493318.00,373329.00,746658.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-28,2020,2020-10-01,2022-03-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892433,NATIONAL ENERGY TECHNOLOGY LABORATORY,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892404,FOSSIL ENERGY,089-X-0213-000,089-0213,25.5: Research and development contracts,0002: CARBON CAPTURE,112716311,"MEMBRANE TECHNOLOGY AND RESEARCH, INC.",,,USA,UNITED STATES,39630 EUREKA DRIVE,,50916,NEWARK,001,ALAMEDA,CA,CALIFORNIA,94560,4805,17,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA50916,NEWARK,001,ALAMEDA,CALIFORNIA,94560-4805,17,,81.089,FOSSIL ENERGY RESEARCH AND DEVELOPMENT,05,COOPERATIVE AGREEMENT (B),"MEMBRANE TECHNOLOGY AND RESEARCH, INC.
PROJECT - ENGINEERING DESIGN OF A POLARIS MEMBRANE CO2 CAPTURE SYSTEM AT A CEMENT PLANT.",NON,NOT RECOVERY ACT,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEFE0031949_8900/,2020-10-02 14:53:30.369858+00
8900_DESC0021321_-NONE-_81.049_-NONE-,ASST_NON_DESC0021321_8900,DESC0021321,,,SAI EXEMPT,525000.00,525000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-29,2020,2020-09-01,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0002: ADVANCED SCIENTIFIC COMPUTING RESEARCH,094878394,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,OFFICE OF RESEARCH,3227 CHEADLE HALL,69070,SANTA BARBARA,083,SANTA BARBARA,CA,CALIFORNIA,93106,2050,24,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA69070,SANTA BARBARA,083,SANTA BARBARA,CALIFORNIA,93106-2050,24,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),DECISION AND CONTROL OF COMPLEX SYSTEMS: A DATA-DRIVEN FRAMEWORK,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0021321_8900/,2020-10-02 14:53:30.369858+00
8900_DESC0021353_-NONE-_81.049_-NONE-,ASST_NON_DESC0021353_8900,DESC0021353,,,SAI EXEMPT,471888.00,471888.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-28,2020,2020-09-01,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,047120084,"UNIVERSITY OF CALIFORNIA, DAVIS",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,1850 RESEARCH PARK DR,,18100,DAVIS,113,YOLO,CA,CALIFORNIA,95618,6153,03,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA18100,DAVIS,113,YOLO,CALIFORNIA,95616-5270,03,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),FIRETIP AND MIR DIAGNOSTICS FOR NSTX-U,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0021353_8900/,2020-10-22 19:17:03.369607+00
8900_DESC0019973_-NONE-_81.049_0002,ASST_NON_DESC0019973_8900,DESC0019973,0002,,SAI EXEMPT,1099588.00,1299535.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-30,2020,2019-07-01,2021-08-23,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0011: SMALL BUSINESS INNOVATION RESEARCH,078618369,"RADIABEAM SYSTEMS, LLC",,,USA,UNITED STATES,1713 STEWART ST,,70000,SANTA MONICA,037,LOS ANGELES,CA,CALIFORNIA,90404,4021,33,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA70000,SANTA MONICA,037,LOS ANGELES,CALIFORNIA,90404-4021,33,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),OPTIMIZATION OF ADDITIVE MANUFACTURING TECHNIQUE FOR 3D SUPERCONDUCTING MULTI-QUBIT SYSTEMS,NON,NOT RECOVERY ACT,R,SMALL BUSINESS,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0019973_8900/,2020-10-02 14:53:30.369858+00
8900_DESC0010529_-NONE-_81.049_0008,ASST_NON_DESC0010529_8900,DESC0010529,0008,,SAI EXEMPT,369983.00,2465051.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-29,2020,2013-09-01,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,804355790,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,9500 GILMAN DRIVE,,39360,LA JOLLA,073,SAN DIEGO,CA,CALIFORNIA,92093,0934,49,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA66000,LA JOLLA,073,SAN DIEGO,CALIFORNIA,92093-0934,52,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),ALTERNATIVE DIVERTOR AND DISCHARGE CONFIGURATION STUDIES AT TCV TOWARDS LONG PULSE OPERATION AND MANAGED PLASMA-WALL INTERACTION,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0010529_8900/,2020-10-22 19:17:03.369607+00
8900_DEAR0000845_-NONE-_81.135_0005,ASST_NON_DEAR0000845_8900,DEAR0000845,0005,,,3724234.00,6497903.00,0.00,730519.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-29,2020,2017-08-11,2023-09-29,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,897030,ADVANCED RSRCH PROJ AGENCY ARPA-E,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,897002,ADVANCED RSRCH PROJ AGENCY ARPA-E,089-X-0337-000,089-0337,25.5: Research and development contracts,0001: ARPA-E PROJECTS,804355790,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,OFFICE OF CONTRACT & GRANT ADMIN,"9500 GILMAN DRIVE, 0934",39360,LA JOLLA,073,SAN DIEGO,CA,CALIFORNIA,92093,0934,49,,,,CITY-WIDE,USA,UNITED STATES,CA39360,LA JOLLA,073,SAN DIEGO,CALIFORNIA,CITY-WIDE,49,,81.135,ADVANCED RESEARCH PROJECTS AGENCY - ENERGY,05,COOPERATIVE AGREEMENT (B),LEED: A LIGHTWAVE ENERGY-EFFICIENT DATACENTER'',NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEAR0000845_8900/,2020-10-22 19:17:03.369607+00
8900_DEFC0206ER54873_-NONE-_81.049_0017,ASST_NON_DEFC0206ER54873_8900,DEFC0206ER54873,0017,,SAI EXEMPT,325000.00,3561204.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-29,2020,2006-07-01,2021-03-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,067638957,GENERAL ATOMICS,859181984,GENERAL ATOMIC TECHNOLOGIES CORPORATION,USA,UNITED STATES,P.O BOX 85608,,66000,SAN DIEGO,073,SAN DIEGO,CA,CALIFORNIA,92186,5608,49,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA66000,SAN DIEGO,073,SAN DIEGO,CALIFORNIA,92121-1122,49,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,05,COOPERATIVE AGREEMENT (B),EDGE SIMULATION LABORATORY (RENEWAL),NON,NOT RECOVERY ACT,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),,,C,REVISION,2,NON-AGGREGATE RECORD,R. S FORNEY,1529963.00,J.  QUINTENZ,732641.00,J. N BLUE,614185.00,R F KHAN,547279.00,M  PERRY,817083.00,https://www.usaspending.gov/award/ASST_NON_DEFC0206ER54873_8900/,2020-10-02 14:53:30.369858+00
8900_DESC0021417_-NONE-_81.049_-NONE-,ASST_NON_DESC0021417_8900,DESC0021417,,,SAI EXEMPT,571852.00,571852.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-29,2020,2020-09-01,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0001: BASIC ENERGY SCIENCES,072933393,UNIVERSITY OF SOUTHERN CALIFORNIA,072933393,UNIVERSITY OF SOUTHERN CALIFORNIA,USA,UNITED STATES,3720 S FLOWER ST FL 3,,44000,LOS ANGELES,037,LOS ANGELES,CA,CALIFORNIA,90089,4318,37,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA44000,LOS ANGELES,037,LOS ANGELES,CALIFORNIA,90089-0241,37,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),ADAPTING SIGNAL RECOVERY ALGORITHMS FOR ACCURATE AND EFFICIENT REACTION RATE CALCULATIONS,NON,NOT RECOVERY ACT,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0021417_8900/,2020-10-02 14:53:30.369858+00
