county_or_part,congressional_district,percent_cnty_total
1,15,0.4685278126306984
1,17,0.07982015892931828
1,13,0.45165202843998326
3,04,1
5,04,1
7,01,1
9,04,1
11,03,1
13,11,0.6126546294445555
13,09,0.2487618539987119
13,05,0.09376596264463544
13,15,0.044817553912097186
15,02,1
17,04,1
19,04,0.0315917040791032
19,21,0.13774203321673506
19,22,0.5723689646624618
19,16,0.25829729804169993
21,03,0.9170909090909091
21,01,0.0829090909090909
23,02,1
25,51,1
27,08,1
29,23,0.8663514890725852
29,21,0.13364851092741478
31,21,1
33,03,0.5637324659483635
33,05,0.4362675340516365
35,01,1
37,26,0.0020053184532891582
37,30,0.08937537896951996
37,25,0.08563423149935204
37,29,0.051444740794756055
37,39,0.02119058847774136
37,27,0.07094309413503799
37,38,0.078504650674318055
37,35,0.013617142698619659
37,37,0.06753088230048865
37,32,0.07001573342739043
37,23,0.02025133853025217
37,40,0.030650460311735867
37,47,0.062069758133230825
37,28,0.06149511154088511
37,44,0.05910933741266362
37,34,0.04667319253831308
37,43,0.08218238886533058
37,33,0.0873066512370754
39,04,0.38900398406374503
39,16,0.610996015936255
41,02,1
43,04,1
45,02,1
47,16,1
49,01,1
51,08,1
53,20,1
55,05,1
57,01,0.8898683883784455
57,04,0.1101316116215545
59,49,0.06932970825054899
59,39,0.14622645993554703
59,48,0.2826804064909262
59,47,0.09835255197589193
59,38,0.006160105710456019
59,46,0.14642609299097847
59,45,0.25082467464565134
61,01,0.15567199781019045
61,04,0.8443280021898095
63,01,1
65,36,0.3614983593997235
65,41,0.21548493479238495
65,42,0.3666949815952964
65,50,0.056321724212595146
67,03,0.02867764206054169
67,09,0.021255974508762612
67,07,0.5402416356877323
67,06,0.40982474774296335
69,20,1
71,27,0.019282606507320457
71,35,0.16971825472278457
71,31,0.3198071739349268
71,08,0.4593823749818247
71,39,0.03180958985314349
73,52,0.23453665762946854
73,51,0.12229655621026442
73,49,0.16738441961720898
73,50,0.2155158087659239
73,53,0.26026655777713414
75,14,0.11049122329568649
75,13,0
75,12,0.8895087767043135
77,10,0.3309586170770037
77,09,0.6690413829229963
79,24,1
81,14,0.8268422407137342
81,18,0.17315775928626576
83,24,1
85,20,0.010951732802847869
85,17,0.2629881687781384
85,19,0.4047324887446341
85,18,0.3213276096743796
87,20,0.7212010393609855
87,18,0.27879896063901455
89,01,1
91,01,1
93,01,1
95,05,0.2717676412257693
95,03,0.7282323587742306
97,02,0.4191258131048707
97,05,0.5808741868951293
99,10,1
101,03,1
103,01,1
105,02,1
107,23,0.22744849891021585
107,22,0.7510370526611826
107,21,0.021514448428601562
109,04,1
111,26,0.8610553560109867
111,30,0.001426156771603634
111,25,0.1267694908092119
111,24,0.01074899640819776
113,06,0.2944918121532007
113,03,0.7055081878467993
115,03,1
